date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:49	125/125	---M-Z	200	added ('OK')	text/plain	etag:%2274-5de416720da00-gzip%22	https://boysenberry10972885.brizy.site/robots.txt		(from )
22:10:50	60214/60214	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2003:10:56%20GMT	https://boysenberry10972885.brizy.site/	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/boysenberry10972885.brizy.site/index.html	(from )
22:10:51	36913/36913	---MC-	200	added ('OK')	image/png	date:Wed,%2004%20May%202022%2023:34:33%20GMT	https://a-cloud.b-cdn.net/images/cropped-favicon-192x192.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/images/cropped-favicon-192x192.png	(from https://boysenberry10972885.brizy.site/)
22:10:51	244108/244108	---MCZ	200	added ('OK')	text/css	etag:W/%2216c45dd1a04b8f175562f1324f9eb20f%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/css/preview.css	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/css/preview.css	(from https://boysenberry10972885.brizy.site/)
22:10:51	71741/71741	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20May%202022%2022:50:16%20GMT	https://a-cloud.b-cdn.net/media/iW=5000&iH=any/d03-BG-sands.jpg	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/media/iW=5000&iH=any/d03-BG-sands.jpg	(from https://boysenberry10972885.brizy.site/)
22:10:52	2087/2087	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20May%202022%2003:10:57%20GMT	https://a-cloud.b-cdn.net/media/iW=1920&iH=346&oX=0&oY=98&cW=1920&cH=149/741e6bfa041f1716451076bdb093d7c5.jpg	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/media/iW=1920&iH=346&oX=0&oY=98&cW=1920&cH=149/741e6bfa041f1716451076bdb093d7c5.jpg	(from https://boysenberry10972885.brizy.site/)
22:10:54	580/580	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2003:11:00%20GMT	https://a-cloud.b-cdn.net/media/iW=26&iH=26&oX=0&oY=0&cW=26&cH=26/41af73ebe80fdfb544fcaf64b4d6a7d8.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/media/iW=26&iH=26&oX=0&oY=0&cW=26&cH=26/41af73ebe80fdfb544fcaf64b4d6a7d8.png	(from https://boysenberry10972885.brizy.site/)
22:10:54	705318/705318	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2003:10:58%20GMT	https://a-cloud.b-cdn.net/media/iW=1170&iH=904&oX=0&oY=13&cW=1170&cH=878/eb945ddd623c2f5fa5354d05b7a2f052.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/media/iW=1170&iH=904&oX=0&oY=13&cW=1170&cH=878/eb945ddd623c2f5fa5354d05b7a2f052.png	(from https://boysenberry10972885.brizy.site/)
22:10:55	1177/1177	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2003:11:00%20GMT	https://a-cloud.b-cdn.net/media/iW=30&iH=30&oX=0&oY=0&cW=30&cH=30/deca30455f99a85d90e0164185fa6d7e.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/a-cloud.b-cdn.net/media/iW=30&iH=30&oX=0&oY=0&cW=30&cH=30/deca30455f99a85d90e0164185fa6d7e.png	(from https://boysenberry10972885.brizy.site/)
22:10:55	91011/91011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed710a097ec10ed3e2e1403b9380da89%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/group-jq.js	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/group-jq.js	(from https://boysenberry10972885.brizy.site/)
22:10:55	185062/185062	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5d46456e9450cf4b76c1feca7b564a0%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/preview.js	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20404%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/preview.js	(from https://boysenberry10972885.brizy.site/)
