date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:35	125/125	---M-Z	200	added ('OK')	text/plain	etag:%2274-5de6c0d7292c0-gzip%22	https://pear10973014.brizy.site/robots.txt		(from )
14:44:37	85693/85693	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202022%2019:44:44%20GMT	https://pear10973014.brizy.site/	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/pear10973014.brizy.site/index.html	(from )
14:44:38	36913/36913	---MC-	200	added ('OK')	image/png	date:Wed,%2004%20May%202022%2023:34:33%20GMT	https://a-cloud.b-cdn.net/images/cropped-favicon-192x192.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/images/cropped-favicon-192x192.png	(from https://pear10973014.brizy.site/)
14:44:38	244108/244108	---MCZ	200	added ('OK')	text/css	etag:W/%2216c45dd1a04b8f175562f1324f9eb20f%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/css/preview.css	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/css/preview.css	(from https://pear10973014.brizy.site/)
14:44:39	71741/71741	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20May%202022%2019:44:45%20GMT	https://a-cloud.b-cdn.net/media/iW=5000&iH=any/d03-BG-sands.jpg	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/media/iW=5000&iH=any/d03-BG-sands.jpg	(from https://pear10973014.brizy.site/)
14:44:41	282348/282348	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2019:44:46%20GMT	https://a-cloud.b-cdn.net/media/iW=918&iH=615&oX=206&oY=0&cW=488&cH=615/400e7a8cb0919ae3a42de7468b83dd91.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/media/iW=918&iH=615&oX=206&oY=0&cW=488&cH=615/400e7a8cb0919ae3a42de7468b83dd91.png	(from https://pear10973014.brizy.site/)
14:44:41	580/580	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2003:11:00%20GMT	https://a-cloud.b-cdn.net/media/iW=26&iH=26&oX=0&oY=0&cW=26&cH=26/41af73ebe80fdfb544fcaf64b4d6a7d8.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/media/iW=26&iH=26&oX=0&oY=0&cW=26&cH=26/41af73ebe80fdfb544fcaf64b4d6a7d8.png	(from https://pear10973014.brizy.site/)
14:44:41	28880/28880	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2019:44:47%20GMT	https://a-cloud.b-cdn.net/media/iW=338&iH=343&oX=0&oY=0&cW=338&cH=343/99f4d01588e7ebe36085c2b07df97110.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/media/iW=338&iH=343&oX=0&oY=0&cW=338&cH=343/99f4d01588e7ebe36085c2b07df97110.png	(from https://pear10973014.brizy.site/)
14:44:41	1177/1177	---MC-	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2019:44:48%20GMT	https://a-cloud.b-cdn.net/media/iW=30&iH=30&oX=0&oY=0&cW=30&cH=30/deca30455f99a85d90e0164185fa6d7e.png	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/a-cloud.b-cdn.net/media/iW=30&iH=30&oX=0&oY=0&cW=30&cH=30/deca30455f99a85d90e0164185fa6d7e.png	(from https://pear10973014.brizy.site/)
14:44:41	91011/91011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed710a097ec10ed3e2e1403b9380da89%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/group-jq.js	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/group-jq.js	(from https://pear10973014.brizy.site/)
14:44:42	185062/185062	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5d46456e9450cf4b76c1feca7b564a0%22	https://b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/preview.js	C:/Users/teddk/OneDrive/Pictures/NUT%20University/Nut%20Buy%20Page/b-cloud.b-cdn.net/builds/free/235-cloud/editor/js/preview.js	(from https://pear10973014.brizy.site/)
